id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
169852,Naschmarkt classic: spacious flat in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,114,1,69,2022-06-06,0.54,7,47,4,
431055,Enjoy the quietness of the modern & central studio,2142888,Simon,,Mariahilf,48.19158,16.34999,Entire home/apt,94,3,43,2021-12-22,0.35,2,188,2,
432365,VIENNA CENTER – BELVEDERE 23,2150005,Ramona & Alex,,Landstra§e,48.19306,16.38798,Entire home/apt,59,4,407,2022-06-04,3.34,4,264,36,
14077947,"Privatzimmer  ""Zum Holzwurm"" ( 4  )",84461165,Heidi,,Favoriten,48.11085,16.44421,Private room,35,1,22,2020-03-03,0.31,5,218,0,
435239,Direct at the center near state opera house studio,518644,Michael,,Margareten,48.1935,16.35862,Entire home/apt,68,1,24,2022-03-14,0.30,32,347,2,
435240,"Center Opera modern, light and quiet Apt",518644,Michael,,Margareten,48.19532,16.35901,Entire home/apt,68,1,42,2022-05-15,0.53,32,267,1,
172530,"Naschmarkt top: spacious, bright and in the center",809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,139,1,194,2021-08-15,1.47,7,4,4,
21336280,Apartment Marktplatz,153915594,Novasol,,Liesing,48.11824,16.26535,Entire home/apt,91,28,0,,,1,164,0,
188352,Central Apartments Vienna (CAV) Top 5,907437,Daryoush,,Wieden,48.19926,16.3662,Entire home/apt,55,15,0,,,1,280,0,
21068026,Nice apartment with balcony outside Vienna,151817524,Christine,,Liesing,48.11718,16.26996,Entire home/apt,25,2,26,2021-10-04,0.48,1,7,4,
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,92,1,2,2017-01-05,0.03,14,283,0,
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,114,1,1,2016-08-03,0.01,14,290,0,
455314,"Central, quiet, fully equipped",2262994,Christine,,Rudolfsheim-Fnfhaus,48.19983,16.33778,Entire home/apt,68,1,649,2022-05-30,5.35,2,194,38,
457863,"cosy,central,free WiFi &gayfriendly",2274716,Ines & Sabrina,,Alsergrund,48.23128,16.36146,Entire home/apt,70,1,6,2016-01-01,0.05,1,358,0,
763157,Atmospheric flat at Augarten,2418146,Gisella,,Brigittenau,48.22883,16.37384,Entire home/apt,80,10,208,2022-01-03,1.79,17,0,14,
459656,Summer in Vienna!!,1085855,Kerstin,,Josefstadt,48.2098,16.34602,Entire home/apt,120,3,10,2021-07-31,0.10,1,38,1,
766088,"apartment Döbling, near Grinzing",4039784,Gerlinde,,Dbling,48.26035,16.36282,Entire home/apt,85,2,0,,,1,0,0,
461361,LedererLeo,2293155,Lee,,Josefstadt,48.21189,16.34926,Entire home/apt,50,3,127,2022-04-30,1.04,1,209,8,
462758,special place for special people near Hauptbahnhof,2299560,Veronika,,Favoriten,48.17774,16.38232,Private room,49,2,128,2022-05-30,1.05,1,320,4,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,82,1,6,2022-05-24,0.05,14,295,1,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,79,1,0,,,14,270,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,89,1,0,,,14,301,0,
774449,Bedroom in the heart of Vienna,4085852,Andrea,,Wieden,48.18892,16.37537,Private room,48,2,57,2020-01-02,0.50,1,364,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,143,1,0,,,14,299,0,
778065,"Indoor ""Tree House"" First District",1189537,Georg,,Innere Stadt,48.21409,16.36324,Private room,76,30,1,2016-05-07,0.01,2,83,0,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,143,1,3,2016-12-14,0.03,14,296,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,89,1,0,,,14,326,0,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,89,1,3,2018-05-06,0.03,14,312,0,
779815,Fantastic apartment for up to 6 per,4111982,Sonia,,Mariahilf,48.19278,16.34131,Entire home/apt,85,3,41,2021-10-19,0.36,1,324,1,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,89,1,2,2021-10-30,0.06,14,313,1,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2014-01-05,0.01,14,292,0,
465925,Zentral gelegenes Apartment Alina,2313955,Marina,,Mariahilf,48.19156,16.33941,Entire home/apt,100,3,35,2021-07-18,0.44,4,344,1,
786350,Mini & Original in Vienna,4145802,Josef,,Neubau,48.20723,16.33873,Entire home/apt,40,3,397,2022-05-19,3.45,2,214,40,
468889,Traditional Apartments Vienna TAV,2327667,Andreas,,Brigittenau,48.23536,16.38022,Entire home/apt,61,2,44,2022-04-01,0.36,6,38,18,
481895,VIENNA CENTER – BELVEDERE 22,2150005,Ramona & Alex,,Landstra§e,48.19306,16.38798,Entire home/apt,49,5,452,2022-06-03,3.70,4,257,37,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2017-05-01,0.02,14,301,0,
799178,Central and modern - Apartment near city center,1108400,Dan,,Leopoldstadt,48.21892,16.38377,Entire home/apt,59,5,100,2022-05-31,0.86,25,301,28,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,141,1,70,2022-05-01,0.59,2,343,8,
799342,Central Apartment near Naschmarkt,4208823,Nina,,Mariahilf,48.19717,16.35436,Entire home/apt,85,3,46,2022-05-30,0.40,1,269,5,
203691,"At the City center room with shower, sink",518644,Michael,,Margareten,48.19347,16.359,Private room,41,1,44,2022-06-06,0.34,32,349,9,
203707,LONG TERM Full of light and large bathroom+Bathtub,518644,Michael,,Margareten,48.19496,16.35896,Entire home/apt,65,30,97,2020-02-26,0.74,32,302,0,
482052,1BR KLIMT Apartment,13336646,Hotel Klimt,,Penzing,48.19676,16.28851,Entire home/apt,127,1,8,2022-04-30,0.07,8,357,2,
813826,apartment2rent  panaroma - UNO City,358163,Greg,,Donaustadt,48.23796,16.42418,Entire home/apt,79,3,10,2020-03-04,0.11,2,327,0,
482090,U3 Meiselmarkt - Schönbrunnnähe,2387347,Manuela,,Rudolfsheim-Fnfhaus,48.1969,16.31793,Private room,40,14,0,,,1,364,0,
208734,美妙的维也纳市中心居家生活体验!,1028000,Liang,,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,2019-05-21,0.36,1,0,0,
